71,"866 80 25, 866 80 26, 866 80 31, 866 02 50 y 866 02 51",866 80 06,emb.lahabana@maec.es 
72,35 42 47 00,35 42 47 26,emb.copenhague@maec.es 
73,929 55 55,906 34 96,emb.kingston@maec.es 
74,"322 63 03, 322 68 96 y 322 69 69",322 78 05,emb.quito@maec.es
75,255 57 33,223 47 18,cog.quito@maec.es 
76,601 74 60,4 245 30 24,cog.guayaquil@maec.es 
77,"922 2995/2996, 922 0170 y 922 7942",931 9706,cog.sanfrancisco@maec.es 
78,355 4080/4081/4082/4085/4086/4090/4091,644 3751,cog.nuevayork@maec.es 
79,782 45 88 y 782 45 89,782 16 35,cog.chicago@maec.es 
80,783 6200,783 6166,cog.houston@maec.es 
81,452 0100 y 728 2340,833-5670,emb.washington@maec.es 
82,728 23 30,728 23 02,cog.washington@maec.es 
83,"446 55 11, 446 55 12 y 446 55 13",446 54 31,cog.miami@maec.es 
84,536 2506 y 536 2527,536 8512,cog.boston@maec.es 
85,"938 0158, 938 0159, 938 0161, 938 0166 y 938 0167",938 0112,cog.losangeles@maec.es 
86,"758 60 90, 758 61 42 y 758 62 79",763 01 90,cog.sanjuandepuertorico@maec.es 
87,393 91 85,392 22 26,cog.alejandria@maec.es 
88,"2735 58 13, 2735 64 37, 2735 36 22, 2735 64 62 y 2735 36 03,",2735 21 32,emb.elcairo@maec.es 
89,22 57 57 00/01/02/03/04,22 57 57 12,emb.sansalvador@maec.es 
90,626 95 44,627 49 78,emb.abudhabi@maec.es 
91,"183 76 36 39, 183 26 98 91, 183 26 98 87 y 183 26 98 97",183 74 13 86,emb.jartum@maec.es 
92,420 23 30,420 23 33,emb.liubliana@maec.es 
93,667 66 51,631 37 67,emb.tallin@maec.es 
94,122 25 44,122 25 41,emb.addisabeba@maec.es 
95,802 56 65,801 77 01,emb.wellington@maec.es 
96,"818 35 61, 818 35 81, 759 29 70 y 759 29 71",810 28 85,con.manila@maec.es 
97,"817 66 76, 817 66 26 y 817 99 97",817 48 92,emb.manila@maec.es 
98,687 70 80,66 01 10 y 17 09 23,emb.helsinki@maec.es 
99,478 89 64 15,478 89 89 25,cog.lyon@maec.es 
100,556 52 80 20,556 81 88 43,cog.burdeos@maec.es 
101,468 34 33 78,468 34 79 39 y 468 35 04 22,cog.perpinan@maec.es 
102,388 32 67 27,388 23 07 17,cog.estrasburgo@maec.es 
103,01 44 29 40 00,01 40 54 04 74 y 01 40 53 88 28,cog.paris@maec.es 
104,44 43 18 00,47 20 56 69 y 47 23 59 55,emb.paris@maec.es 
105,491 00 32 70,491 37 91 64,cog.marsella@maec.es 
106,559 27 32 40,559 27 62 65,cog.pau@maec.es 
107,534 31 96 60,561 25 42 52,cog.toulouse@maec.es 
108,559 59 38 91 y 559 59 03 91,559 25 73 09,cog.bayona@maec.es 
109,"00 241 01 72 12 64, 00 241 01 74 64 08, 00 241 01 77 30 68",00 241 01 74 88 73 y 008716 0035 2470,emb.libreville@maec.es 
110,"33 821 30 81, 33 821 11 78 y 33 823 91 37",33 821 68 45 y 33 842 36 84,emb.dakar@maec.es 
111,"359 2 946 12 09, 943 30 32, 943 30 34, 943 36 20, 943 36 30, y 948 99 11/19",359 2 946 12 01 y 946 34 68,emb.sofia@maec.es 
112,77 40 04/05,77 62 17,emb.accra@.maec.es 
113,780 26 79,622 30 32 y 624 49 83,emb.puertoespana@maec.es 
114,"2109 213 123, 2109 213 237, 2109 213 238 y 2109 213 265",2109 214 264 y 2109 213 090,emb.atenas@maec.es 
115,2379 35 30 y 2379 35 50,2379 35 33,emb.guatemala@maec.es 
116,"625 79 38, 628 25 60 y 622 11 51",622 30 32 y 624 49 83,emb.puertoespana@maec.es 
117,608 22 563/633 58 730 y 641 86 404,00-870 600 91 59 48,emb.conakry@maec.es 
118,00 245 672 22 46 Y 00 245 687 51 52,00 245 320 76 56 y 00 870 600 386 953,emb.bissau@maec.es
119,26 35,27 49,cog.bata@maec.es
120,20 20 y 28 68,26 11,emb.malabo@maec.es 
121,"2940 0907, 2940 0952 y 2940 0954",,emb.puertoprincipe@maec.es 
122,"2236 68 75, 2236 65 89, 2236 68 65, 2236 56 66 y 2236 91 27 y",2236 86 82 y 2221 09 80,emb.tegucigalpa@maec.es 
123,"202 40 06, 202 40 15 y 202 40 48",202 42 06,emb.budapest@maec.es 
124,4129 3000,4129 3020,emb.nuevadelhi@maec.es 
125,91 22 22880213/19,91 22 22880254,cog.mumbai@maec.es 
126,314 23 55,319 35 134 y 319 259 96,emb.yakarta@maec.es 
127,225 686 81 / 82 / 83 / 84 y 225 680 18,225 680 17/18,emb.teheran@maec.es 
128,(0) 790 675 6906,00 873 600 258 258,emb.bagdad@maec.es 
129,"269 16 40, 269 25 97, 283 88 27",269 18 54,emb.dublin@maec.es
130,22 92 66 90,22 92 66 96,emb.oslo@maec.es 
131,802 56 65,801 77 01,emb.wellington@maec.es 
132,"817 66 76, 817 66 26 y 817 99 97",817 48 92,emb.manila@maec.es 
133,6273 35 55,6273 3918,emb.canberra@maec.es 
134,769 79 00 y 696 52 10 / 18,696 52 17,emb.telaviv@maec.es 
135,06 684 04 01,06 687 22 56,emb.roma@maec.es 
136,"010 56 26 69, 010 58 71 77 y 010 570 43 36",010 58 64 48,cog.genova@maec.es
137,081 41 11 57 y 081 41 41 15,081 40 16 43,cog.napoles@maec.es
138,"06 687 14 01, 06 687 38 22 y 06 6830 05 87",06 687 11 98,cog.roma@maec.es
139,02 632 88 31,02 657 10 49,cog.milan@maec.es
140,929 55 55,929 89 65,emb.kingston@maec.es
141,3583 8531 y 3583 8532,3582 8627,emb.tokio@maec.es
142,535 01 00,532 67 31,cog.jerusalen@maec.es
143,"461 41 66, 461 41 67, 461 41 68, 461 41 69, 462 13 69 y 462 13 73",461 41 73 y 4614170,emb.amman@maec.es
144,21 69 84 y 20 15 40,20 03 17,emb.astana@maec.es
145,"272 0222, 272 0223, 272 0224 y 272 0225",272 0226,emb.nairobi@maec.es
146,(7 7172) 21 69 84 y 20 15 40,(7 7172) 20 03 17.,emb.astana@maec.es
147,"2532 58 27, 2532 58 28 y 2532 58 29",2532 58 26,emb.kuwait@.maec.es
148,"66 (0) 2252 6112, 2252 8368, 2253 5132/4",661 92 20 y 661 92 21,embespthg@mail.mae.es
149,012 460 0123,012 343 4891,emb.pretoria@maec.es 
150,6732 02 81 y 732 51 82,6732 50 05,emb.riga@maec.es
151,05 46 41 20,05 46 40 30 y 05 46 74 54,emb.beirut@maec.es
152,(+225) 22444850,(+225) 22447122,embespci@correo.mae.es
153,362 00 51 y 362 00 52,362 00 61,emb.tripoli@maec.es
154,3505 252 y 3505 250/251,3505 255 y 3516 994,ambespch@mail.mae.es
155,"231 39 61, 264 45 61, 264 45 60",231 39 62,emb.vilnius@maec.es
156,46 02 55,46 12 88,emb.luxemburgo@maec.es
157,460 01 23,460 22 07 y 460 22 80,emb.pretoria@maec.es 
158,21 62 02 61 y 21 63 02 61,21 64 02 61,emb.kualalumpur@maec.es
159,(263) 4 250 740/1/2,(263) 4 795 261,emb.harare@mae.es
160,4129 3000,4129 3020,emb.nuevadelhi@maec.es 
161,4490 11 75 y 20 23 65 27,20 23 65 24,emb.bamako@maec.es
162,21 31 73 65,21 31 73 62,emb.valletta@maec.es
163,84 56 81 y 84 57 10,84 58 43,cog.agadir@ maec.es
164,"60 61 36, 60 65 24 y 32 06 90",60 61 52,cog.nador@mail.maec.es
165,63 39 00,63 06 00,emb.rabat@maec.es
166,0537 68 74 70,0537 68 18 56,cog.rabat@maec.es
167,70 39 84/ 86/ 87,70 44 85,cog.tetuan@maec.es
168,91 33 02 y 91 28 31,91 53 92,cog.larache@maec.es
169,"22 07 52, 22 59 06 y 22 18 95",20 50 49,cog.casablanca@maec.es
170,"93 70 00, 93 41 90, 93 56 25 y 93 51 40",93 27 70,cog.tanger@maec.es
171,460 01 23,460 22 07 y 460 22 80,emb.pretoria@maec.es 
172,4574 53 71,4574 57 62,con.nouadhibou@maec.es
173,"3630 04 50, 3630 08 22, 3630 04 66",3616 03 96,cog.guadalajara@maec.es
174,"5280 43 83, 5280 45 08, 5280 46 33, 5280 47 58, 5280 48 83, 5280 71 46 y 5281 7113",5281 07 42,cog.mexico@maec.es
175,"5282 29 74, 5282 22 71, 5282 24 59, 5282 27 63 y 5282 29 82",5282 13 02 y 5282 15 20,emb.mexico@maec.es
176,"8356 3386, 8356 3387, 8356 1250 y 8356 3366",8356 3382,cg.monterrey@maec.es
177,"817 66 76, 817 66 26 y 817 99 97",817 48 92,emb.manila@maec.es 
178,318 10 77,318 10 72,emb.bucarest@maec.es
179,491 00 32 70,491 37 91 64,cog.marsella@maec.es 
180,"6532 3629, 6532 3728 y 6532 1445",6532 3401,emb.pekin@maec.es 
181,(011) 344 0231 y  344 0232,(011) 344 4203,emb.belgrado@mae.es
182,"21 49 20 25, 21 49 20 27 y 21 49 20 30",21 49 47 69,emb.maputo@maec.es
183,661 82 84/85/86/87,661 92 20 y 661 92 21,emb.bangkok@maec.es 
184,"22 30 66, 22 40 38, 22 44 00 y 22 72 09",22 30 46,emb.windhoek@maec.es
185,6273 35 55,6273 3918,emb.canberra@maec.es 
186,4129 3000,4129 3020,emb.nuevadelhi@maec.es 
187,"(00 505) 22 76 09 66, 22 76 09 67 y 22 76 09 68",(00 505) 22 76 09 37,emb.managua@maec.es
188,20755961/ 62/ 64,600915953,emb.niamey@maec.es
189,461 32 58/ 71/ 73,461 32 59,emb.abuja@maec.es
190,461 76 18 y 280 54 88,461 73 97,cog.lagos@maec.es
191,22 92 66 90,22 92 66 96,emb.oslo@maec.es
192,6273 35 55,6273 3918,emb.canberra@maec.es 
193,4129 3000,4129 3020,emb.nuevadelhi@maec.es 
194,2469 1101 y 2469 2473,2469 8969,emb.mascate@maec.es
195,620 38 11,638 08 36,cog.amsterdam@maec.es
196,302 49 99,361 79 59,emb.lahaya@maec.es
197,208 87 77,208 87 74,emb.islamabad@maec.es
198,"817 66 76, 817 66 26 y 817 99 97",817 48 92,emb.manila@maec.es 
199,207 15 00,207 15 40,emb.panama@maec.es
200,"490 686, 444 908, 440 877, 440 878 y 490 687",445 394 y 497 255,emb.asuncion@maec.es
201,212 51 55,212 19 09 y 440 20 20,emb.lima@maec.es
202,513 79 30,422 03 47,cog.lima@maec.es
203,"622 42 50, 622 42 55, 583 40 00 y 583 40 01",622 54 08,emb.varsovia@maec.es
204,251 82 21 22,251 82 45 60,con.valenca@maec.es
205,21 347 23 81/82/83 y 21 347 86 21/22,21 347 23 84 y 21 342 53 76,emb.lisboa@maec.es
206,"22 536 39 15, 22 536 39 40 y 22 510 16 85",22 510 19 14,cog.oporto@maec.es
207,448 35 886 y 448 35 901,448 35 887,emb.doha@maec.es
208,589 89 89,581 78 88,cog.londres@maec.es
209,235 55 55,259 53 92,emb.londres@maec.es
210,"220 18 43, 220 14 39 y 220 14 42",226 45 68,cog.edimburgo@maec.es
211,233 097 211,233 341 770 y 233 340 813,emb.praga@maec.es
212,(0) 818 84 31 95,(870) 600 367 511,emb.kinshasa@maec.es
213,809 450 22 22,809 535 15 50,cog.santodomingo@maec.es
214,809 535 65 00,809 535 15 95,emb.santodomingo@maec.es
215,5441 57 24 y 5441 57 26,5441 75 65 y 5441 57 17,emb.bratislava@maec.es
216,"2220 35 43, 2220 41 89 y 2220 32 08",2221 08 25,emb.yaunde@maec.es 
217,"266 60 18, 266 60 19, 266 69 36",266 69 38,emb.daressalaam@maec.es 
218,318 10 77,318 10 72,emb.bucarest@maec.es
219,"(495) 690 29 93, 690 30 02, 690 32 50, 690 30 54 y 916 54 34",(495) 691 91 71,emb.moscu@maec.es
220,802 56 65,801 77 01,emb.wellington@maec.es 
221,929 55 55,906 34 96,Emb.kingston@maec.es 
222,06 684 04 01,06 687 22 56,emb.roma@maec.es 
223,"625 79 38, 628 25 60 y 622 11 51",622 30 32 y 624 49 83,emb.puertoespana@maec.es
224,"625 79 38, 628 25 60 y 622 11 51",622 30 32 y 624 49 83,emb.puertoespana@maec.es
225,06 678 43 51/52/53/54,06 678 43 55,emb.santasede@maec.es
226,"00 241 01 72 12 64, 00 241 01 74 64 08 y 00 241 01 77 30 68",00 241 01 74 88 73 y 008716 0035 2470,emb.libreville@maec.es 
227,"33 821 30 81, 33 821 11 78 y 33 823 91 37",33 821 68 45 y 33 842 36 84,emb.dakar@maec.es
228,344 02 31/2/3/4/5,344 42 03,emb.belgrado@maec.es
229,122 25 44,122 25 41,emb.addisabeba@maec.es 
230,"33 821 30 81, 33 821 11 78 y 33 823 91 37",33 821 68 45 y 33 842 36 84,emb.dakar@maec.es
231,6725 9220,6333 3025 y 6336 0130,emb.singapur@maec.es
232,"613 29 00, 613 29 01, 613 29 02 y 613 29 03",613 29 41,emb.damasco@maec.es
233,"272 0222, 272 0223, 272 0224 y 272 0225",272 0226,emb.nairobi@maec.es 
234,4129 3000,4129 3020,emb.nuevadelhi@maec.es 
235,460 01 23,460 22 07 y 460 22 80,emb.pretoria@maec.es 
236,"183 76 36 39, 183 26 98 91, 183 26 98 87 y 183 26 98 97",183 74 13 86,emb.jartum@maec.es
237,52 280 800,660 30 34,emb.estocolmo@maec.es
238,350 52 52,350 52 55 y 351 69 94,emb.berna@maec.es
239,"625 79 38, 628 25 60 y 622 11 51",622 30 32 y 624 49 83,emb.puertoespana@maec.es
240,"21 49 20 25, 21 49 20 27 y 21 49 20 30",21 49 47 69,emb.maputo@maec.es
241,661 82 84/85/86/87,661 92 20 y 661 92 21,emb.bangkok@maec.es
242,"266 60 18, 266 60 19, 266 69 36",266 69 38,emb.daressalaam@maec.es
243,(7 7172) 21 69 84 y 20 15 40,(7 7172) 20 03 17,emb.astana@maec.es
244,314 23 55,319 35 134 y 319 259 96,emb.yakarta@maec.es 
245,77 40 04/05,77 62 17,emb.accra@.maec.es 
246,802 56 65,801 77 01,emb.wellington@maec.es 
247,"625 79 38, 628 25 60 y 622 11 51",622 30 32 y 624 49 83,emb.puertoespana@maec.es
248,"(495) 690 29 93, 690 30 02, 690 32 50, 690 30 54 y 916 54 34",(495) 691 91 71,emb.moscu@maec.es
249,"438 03 92, 440 17 96 y 440 21 69","439 51 70, 440 33 27 y 442 69 91",emb.ankara@maec.es
250,6273 35 55,6273 3918,emb.canberra@maec.es 
251,"78 22 17, 78 77 96, 79 46 58, 79 29 90 y 79 46 28",78 62 67 y 80 19 75,emb.tunez@maec.es
252,"391 30 24, 391 30 25, 391 30 26",581 28 84,emb.kiev@maec.es
253,"272 0222, 272 0223, 272 0224 y 272 0225",272 0226,emb.nairobi@maec.es
254,2708 60 10,2707 95 51,emb.montevideo@maec.es
255,"(495) 690 29 93, 690 30 02, 690 32 50, 690 30 54 y 916 54 34",(495) 691 91 71,emb.moscu@maec.es
256,6273 35 55,6273 3918,emb.canberra@maec.es 
257,"263 28 55, 263 38 76, 263 09 32, 263 19 56 y 263 29 80",261 08 92,emb.caracas@maec.es
258,377 152 07/ 08/ 09,377 152 06,emb.hanoi@maec.es
259,429899 y 429892,42 98 93,emb.sanaa@maec.es
260,122 25 44,122 25 41,emb.addisabeba@maec.es 
261,250 740/741/742,795 440,emb.harare@maec.es
262,250 740/741/742,795 440,emb.harare@maec.es
